bank,hospital,house,school,supermarket
79.0,13.0,218.0,53.0,7.0
81.0,12.0,203.0,48.0,8.0
36.0,12.0,265.0,57.0,17.0
28.0,10.0,174.0,38.0,7.0
91.0,9.0,166.0,39.0,7.0
147.0,19.0,332.0,70.0,11.0
167.0,15.0,363.0,84.0,20.0
163.0,37.0,435.0,118.0,39.0
181.0,46.0,498.0,129.0,57.0
167.0,38.0,633.0,96.0,92.0
79.0,23.0,485.0,94.0,63.0
20.0,4.0,144.0,24.0,10.0
27.0,11.0,119.0,67.0,16.0
27.0,8.0,130.0,63.0,16.0
12.0,3.0,47.0,26.0,13.0
6.0,2.0,17.0,14.0,16.0
5.0,3.0,27.0,17.0,17.0
10.0,6.0,44.0,21.0,3.0
8.0,5.0,50.0,17.0,2.0
10.0,4.0,46.0,17.0,4.0
8.0,5.0,51.0,11.0,3.0
11.0,3.0,42.0,15.0,12.0
9.0,2.0,33.0,9.0,7.0
28.0,10.0,205.0,48.0,11.0
75.0,28.0,434.0,98.0,27.0
83.0,37.0,511.0,142.0,26.0
37.0,17.0,219.0,73.0,7.0
13.0,1.0,97.0,28.0,3.0
20.0,7.0,148.0,42.0,10.0
9.0,7.0,101.0,41.0,8.0
6.0,4.0,76.0,14.0,3.0
35.0,19.0,290.0,58.0,10.0
39.0,23.0,312.0,64.0,10.0
26.0,18.0,192.0,51.0,4.0
63.0,33.0,329.0,77.0,13.0
84.0,30.0,564.0,105.0,21.0
58.0,20.0,582.0,104.0,16.0
17.0,12.0,224.0,47.0,4.0
10.0,7.0,117.0,26.0,3.0
18.0,3.0,141.0,30.0,10.0
8.0,1.0,16.0,21.0,1.0
12.0,10.0,25.0,30.0,1.0
5.0,2.0,15.0,3.0,4.0
5.0,2.0,16.0,3.0,4.0
9.0,6.0,59.0,36.0,0.0
67.0,17.0,222.0,174.0,23.0
67.0,13.0,189.0,119.0,25.0
13.0,5.0,57.0,39.0,10.0
11.0,6.0,22.0,30.0,11.0
11.0,8.0,33.0,30.0,7.0
7.0,1.0,35.0,18.0,14.0
6.0,5.0,31.0,19.0,13.0
6.0,3.0,17.0,12.0,6.0
5.0,0.0,10.0,5.0,4.0
15.0,4.0,36.0,28.0,8.0
11.0,3.0,43.0,21.0,9.0
27.0,15.0,198.0,58.0,16.0
41.0,21.0,352.0,67.0,23.0
36.0,25.0,329.0,57.0,21.0
10.0,8.0,142.0,38.0,4.0
10.0,6.0,84.0,28.0,6.0
15.0,9.0,165.0,61.0,12.0
6.0,7.0,71.0,30.0,4.0
6.0,3.0,30.0,16.0,2.0
10.0,4.0,57.0,21.0,5.0
34.0,25.0,343.0,81.0,15.0
32.0,17.0,358.0,76.0,16.0
8.0,4.0,89.0,21.0,3.0
7.0,3.0,44.0,14.0,3.0
19.0,4.0,34.0,66.0,2.0
31.0,15.0,84.0,98.0,2.0
20.0,5.0,52.0,63.0,2.0
8.0,2.0,4.0,10.0,3.0
8.0,3.0,13.0,15.0,4.0
7.0,1.0,22.0,12.0,1.0
19.0,4.0,55.0,28.0,2.0
60.0,6.0,170.0,89.0,11.0
67.0,8.0,173.0,95.0,12.0
16.0,5.0,54.0,27.0,2.0
9.0,7.0,14.0,18.0,2.0
9.0,4.0,23.0,21.0,3.0
26.0,9.0,56.0,27.0,15.0
25.0,4.0,52.0,15.0,11.0
9.0,3.0,9.0,17.0,14.0
10.0,4.0,17.0,23.0,10.0
5.0,4.0,26.0,12.0,4.0
10.0,5.0,25.0,19.0,9.0
6.0,2.0,14.0,8.0,7.0
12.0,11.0,157.0,36.0,11.0
14.0,5.0,77.0,24.0,4.0
5.0,2.0,36.0,18.0,1.0
5.0,2.0,21.0,10.0,1.0
6.0,2.0,21.0,12.0,4.0
22.0,7.0,144.0,60.0,17.0
17.0,7.0,198.0,46.0,17.0
33.0,25.0,467.0,105.0,32.0
39.0,22.0,365.0,67.0,28.0
15.0,14.0,199.0,32.0,13.0
6.0,4.0,45.0,11.0,2.0
7.0,2.0,35.0,10.0,2.0
5.0,5.0,17.0,49.0,1.0
48.0,44.0,83.0,171.0,11.0
75.0,53.0,157.0,224.0,12.0
41.0,8.0,91.0,103.0,2.0
7.0,3.0,21.0,10.0,1.0
31.0,3.0,61.0,21.0,6.0
22.0,3.0,46.0,25.0,2.0
8.0,3.0,22.0,15.0,4.0
6.0,0.0,15.0,7.0,6.0
13.0,10.0,57.0,31.0,14.0
26.0,8.0,63.0,30.0,16.0
5.0,4.0,17.0,28.0,7.0
8.0,3.0,6.0,20.0,8.0
10.0,2.0,13.0,22.0,11.0
15.0,4.0,40.0,33.0,14.0
14.0,3.0,35.0,29.0,17.0
10.0,1.0,22.0,13.0,6.0
11.0,3.0,17.0,12.0,4.0
13.0,8.0,79.0,29.0,12.0
8.0,2.0,18.0,8.0,5.0
28.0,6.0,146.0,47.0,4.0
47.0,11.0,317.0,102.0,28.0
18.0,16.0,454.0,81.0,27.0
14.0,9.0,305.0,47.0,20.0
7.0,6.0,137.0,39.0,8.0
12.0,14.0,239.0,54.0,15.0
18.0,16.0,219.0,42.0,12.0
6.0,12.0,130.0,29.0,10.0
8.0,4.0,29.0,27.0,13.0
12.0,5.0,61.0,17.0,4.0
11.0,4.0,42.0,11.0,5.0
28.0,10.0,56.0,99.0,5.0
49.0,19.0,103.0,172.0,14.0
36.0,11.0,93.0,143.0,4.0
9.0,3.0,37.0,46.0,1.0
7.0,2.0,28.0,8.0,0.0
5.0,4.0,13.0,20.0,1.0
13.0,7.0,30.0,26.0,7.0
8.0,3.0,17.0,9.0,7.0
9.0,5.0,27.0,34.0,5.0
8.0,3.0,25.0,26.0,5.0
7.0,1.0,29.0,20.0,11.0
8.0,1.0,18.0,17.0,6.0
7.0,1.0,2.0,5.0,3.0
5.0,1.0,2.0,2.0,3.0
5.0,5.0,69.0,22.0,9.0
37.0,13.0,314.0,84.0,19.0
46.0,15.0,350.0,66.0,29.0
26.0,11.0,299.0,50.0,29.0
18.0,11.0,144.0,45.0,11.0
5.0,1.0,13.0,6.0,2.0
14.0,5.0,51.0,28.0,14.0
28.0,11.0,113.0,70.0,31.0
16.0,10.0,68.0,42.0,22.0
11.0,4.0,41.0,12.0,4.0
6.0,3.0,8.0,15.0,1.0
7.0,3.0,32.0,35.0,2.0
5.0,0.0,7.0,6.0,5.0
12.0,0.0,12.0,10.0,5.0
7.0,2.0,6.0,8.0,3.0
12.0,6.0,15.0,37.0,7.0
9.0,4.0,18.0,21.0,10.0
12.0,2.0,21.0,14.0,11.0
23.0,12.0,50.0,41.0,7.0
49.0,15.0,87.0,63.0,15.0
31.0,4.0,64.0,30.0,19.0
8.0,6.0,10.0,20.0,3.0
7.0,6.0,10.0,18.0,2.0
10.0,6.0,26.0,16.0,8.0
5.0,3.0,53.0,13.0,8.0
15.0,8.0,153.0,27.0,14.0
11.0,4.0,86.0,19.0,11.0
5.0,3.0,39.0,21.0,10.0
9.0,6.0,79.0,32.0,21.0
10.0,8.0,164.0,43.0,16.0
