bank,lat,lng
8.0,22.645,113.157
9.0,22.645,113.217
8.0,22.645,113.237
7.0,22.645,113.257
8.0,22.645,113.277
7.0,22.645,113.597
5.0,22.645,113.617
5.0,22.645,113.837
37.0,22.645,114.017
46.0,22.645,114.037
26.0,22.645,114.057
18.0,22.645,114.077
5.0,22.645,114.15700000000001
14.0,22.645,114.177
28.0,22.645,114.197
16.0,22.645,114.21700000000001
11.0,22.645,114.417
6.0,22.665,110.137
7.0,22.665,110.177
5.0,22.665,113.01700000000001
12.0,22.665,113.037
7.0,22.665,113.117
12.0,22.665,113.137
9.0,22.665,113.177
12.0,22.665,113.197
23.0,22.665,113.21700000000001
49.0,22.665,113.23700000000001
31.0,22.665,113.257
8.0,22.665,113.337
7.0,22.665,113.35700000000001
10.0,22.665,113.417
5.0,22.665,113.79700000000001
15.0,22.665,113.81700000000001
11.0,22.665,113.837
5.0,22.665,113.917
9.0,22.665,113.93700000000001
10.0,22.665,113.99700000000001
31.0,22.665,114.01700000000001
27.0,22.665,114.037
11.0,22.665,114.057
8.0,22.665,114.07700000000001
7.0,22.665,114.117
11.0,22.665,114.137
13.0,22.685,110.337
17.0,22.685,110.35700000000001
15.0,22.685,112.217
20.0,22.685,112.237
5.0,22.685,113.017
11.0,22.685,113.037
6.0,22.685,113.157
14.0,22.685,113.217
31.0,22.685,113.237
36.0,22.685,113.257
9.0,22.685,113.277
10.0,22.685,113.417
5.0,22.685,113.777
12.0,22.685,113.797
16.0,22.685,113.817
7.0,22.685,113.837
7.0,22.685,113.917
13.0,22.685,113.937
6.0,22.685,113.957
8.0,22.685,113.977
11.0,22.685,113.997
7.0,22.685,114.037
11.0,22.685,114.057
19.0,22.685,114.117
25.0,22.685,114.137
5.0,22.685,114.15700000000001
7.0,22.685,114.177
5.0,22.685,114.21700000000001
6.0,22.685,114.23700000000001
17.0,22.685,114.337
15.0,22.685,114.35700000000001
34.0,22.705,110.337
40.0,22.705,110.357
5.0,22.705,110.657
5.0,22.705,110.677
5.0,22.705,111.317
22.0,22.705,112.21700000000001
28.0,22.705,112.23700000000001
5.0,22.705,112.99700000000001
5.0,22.705,113.01700000000001
16.0,22.705,113.137
23.0,22.705,113.15700000000001
7.0,22.705,113.177
9.0,22.705,113.23700000000001
18.0,22.705,113.257
10.0,22.705,113.277
11.0,22.705,113.29700000000001
7.0,22.705,113.31700000000001
12.0,22.705,113.337
8.0,22.705,113.537
8.0,22.705,113.557
11.0,22.705,113.79700000000001
8.0,22.705,113.81700000000001
8.0,22.705,113.837
11.0,22.705,114.037
22.0,22.705,114.057
5.0,22.705,114.09700000000001
11.0,22.705,114.117
11.0,22.705,114.137
8.0,22.705,114.157
11.0,22.705,114.177
16.0,22.705,114.217
30.0,22.705,114.237
14.0,22.705,114.257
12.0,22.705,114.337
10.0,22.705,114.357
9.0,22.705,114.537
5.0,22.725,110.23700000000001
9.0,22.725,110.35700000000001
5.0,22.725,111.31700000000001
8.0,22.725,112.237
5.0,22.725,112.917
5.0,22.725,112.937
5.0,22.725,113.117
9.0,22.725,113.137
10.0,22.725,113.157
7.0,22.725,113.237
5.0,22.725,113.257
9.0,22.725,113.277
9.0,22.725,113.297
10.0,22.725,113.337
17.0,22.725,113.797
37.0,22.725,113.817
29.0,22.725,113.837
6.0,22.725,113.897
7.0,22.725,113.917
